CA City,Applications,lat,lng
Arroyo Grande,983,35.1241,-120.5845
DIAMOND BAR,977,33.9991,-117.8161
ALISO VIEJO,975,33.5792,-117.7289
TEMECULA,969,33.4928,-117.1315
PLACENTIA,967,33.8807,-117.8553
Benicia,966,38.0725,-122.1525
Woodland,958,38.6712,-121.75
DALY CITY,957,37.6862,-122.4685
Redlands,952,34.0511,-117.1712
Felton,949,37.0392,-122.0804
RANCHO PALOS VERDES,948,33.7554,-118.3637
BOULDER CREEK,947,37.1341,-122.1271
Ojai,939,34.4487,-119.2469
OXNARD,938,34.1963,-119.1815
WHITTIER,926,33.9678,-118.0188
Pomona,919,34.0585,-117.7626
Ontario,908,34.0393,-117.6064
Temple City,908,34.1021,-118.0579
Corte Madera,904,37.9238,-122.5129
CERRITOS,904,33.8677,-118.0686
HERMOSA BEACH,895,33.8654,-118.3966
EL CAJON,892,32.8017,-116.9605
Hawthorne,891,33.9146,-118.3476
Montara,885,37.5482,-122.4924
GLENDORA,885,34.1449,-117.8468
PETALUMA,881,38.2423,-122.6267
SAN MARINO,877,34.1224,-118.1132
Palos Verdes Estates,875,33.7871,-118.3976
SAN BRUNO,873,37.6254,-122.4313
CALABASAS,862,34.1375,-118.6689
Ben Lomond,858,37.0782,-122.0882
EL DORADO HILLS,854,38.675,-121.049
EL SEGUNDO,853,33.9169,-118.4021
Stockton,852,37.9765,-121.3109
Sierra Madre,850,34.1687,-118.0504
Rowland Heights,846,33.9716,-117.8911
ALAMO,818,37.8546,-122.013
MONTE SERENO,817,37.2404,-121.9882
AGOURA HILLS,809,34.151,-118.7608
ROSEVILLE,807,38.7703,-121.3196
Seal Beach,800,33.7542,-118.0714
SOUTH PASADENA,797,34.1103,-118.1573
Coto De Caza,795,33.5961,-117.5862
Antioch,794,37.9789,-121.7958
Palmdale,785,34.5944,-118.1057
Gardena,778,33.8944,-118.3073
Vallejo,776,38.1133,-122.2358
Lakewood,775,33.8471,-118.1221
MONROVIA,774,34.165,-117.9921
UPLAND,769,34.1178,-117.6603
Fontana,767,34.0968,-117.4599
Rancho Cordova,764,38.574,-121.2523
La Honda,760,37.3182,-122.2651
CLAREMONT,759,34.1259,-117.7153
Lancaster,751,34.6935,-118.1753
TRACY,737,37.7269,-121.4522
MARINA DEL REY,736,33.9765,-118.4486
RANCHO SANTA MARGARITA,729,33.6318,-117.5989
CHULA VISTA,725,32.6281,-117.0145
WESTMINSTER,724,33.7523,-117.9938
Auburn,715,38.895,-121.0778
El Sobrante,714,33.8724,-117.4625
Chico,706,39.7575,-121.8152
Coronado,704,32.664,-117.16
LA MESA,699,32.7703,-117.0204
